# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_conservative_inframe_deletion	variants_effect_disruptive_inframe_deletion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_non_coding_transcript_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
ASMTL	ENSG00000169093	ENST00000463763	processed_transcript	0	4	0	834	0	0	0	0	0	230	0	311	0	47	0	0	0	4	0	0	0	0	250
ASMTL	ENSG00000169093	ENST00000474865	processed_transcript	0	2	0	881	0	0	0	0	0	223	0	423	0	35	0	0	0	2	0	0	0	0	202
ASMTL	ENSG00000169093	ENST00000534940	protein_coding	5	64	61	2783	6	3	8	0	0	300	3	2239	61	0	0	1	0	13	0	1	1	53	239
ASMTL-AS1	ENSG00000236017	ENST00000419737		0	1	0	1075	0	0	0	0	0	363	0	370	0	37	0	0	0	1	0	0	0	0	306
ASMTL-AS1	ENSG00000236017	ENST00000420411		1	2	0	1062	0	0	0	0	0	345	0	395	0	56	0	0	1	2	0	0	0	0	269
ASMTL-AS1	ENSG00000236017	ENST00000425740		1	4	0	1126	0	0	0	0	0	355	0	449	0	56	0	0	1	4	0	0	0	0	271
ASMTL-AS1	ENSG00000236017	ENST00000443929		1	3	0	525	0	0	0	0	0	150	0	71	0	38	0	0	1	3	0	0	0	0	270
ASMTL-AS1	ENSG00000236017	ENST00000602357		0	4	0	1071	0	0	0	0	0	363	0	373	0	30	0	0	0	4	0	0	0	0	309
CD99	ENSG00000002586	ENST00000381177	nonsense_mediated_decay	0	1	0	969	33	0	0	0	0	148	0	558	0	38	0	0	0	1	0	0	0	0	193
CD99	ENSG00000002586	ENST00000381180	protein_coding	1	6	7	370	10	0	0	0	0	184	1	15	7	0	1	0	0	1	0	0	0	5	160
CD99	ENSG00000002586	ENST00000381184	protein_coding	0	14	13	1987	9	0	5	0	0	212	0	1603	13	0	0	0	0	6	0	0	0	11	161
CD99	ENSG00000002586	ENST00000381187	protein_coding	0	13	15	2217	15	0	6	0	0	151	0	1885	15	0	0	0	0	3	0	0	0	12	161
CD99	ENSG00000002586	ENST00000381192	protein_coding	0	13	17	2216	25	0	4	0	0	145	0	1883	17	0	0	0	0	3	0	0	0	12	160
CD99	ENSG00000002586	ENST00000449611	processed_transcript	0	3	0	1692	0	0	0	0	0	204	0	1302	0	26	0	0	0	3	0	0	0	0	163
CD99	ENSG00000002586	ENST00000482293	processed_transcript	1	2	0	741	0	0	0	0	0	204	0	303	0	19	0	0	1	2	0	0	0	0	218
CD99	ENSG00000002586	ENST00000482405	protein_coding	0	13	11	1986	9	0	2	0	0	212	0	1606	11	0	0	0	0	5	0	0	0	10	160
CD99	ENSG00000002586	ENST00000497752	retained_intron	0	1	0	657	0	0	0	0	0	206	0	233	0	31	0	0	0	1	0	0	0	0	188
CD99	ENSG00000002586	ENST00000611428	protein_coding	0	14	11	2226	33	0	14	0	0	145	0	1883	11	0	0	0	0	6	0	0	0	10	154
CD99	ENSG00000002586	ENST00000623253	nonsense_mediated_decay	0	6	0	2225	8	0	0	0	0	151	0	1883	0	29	0	0	0	6	0	0	0	0	160
CD99	ENSG00000002586	ENST00000624481	protein_coding	0	13	17	2214	25	0	1	0	0	145	0	1883	17	0	0	0	0	4	0	0	0	12	161
CD99	ENSG00000002586	ENST00000645950	retained_intron	0	2	0	1578	0	0	0	0	0	200	0	1201	0	19	0	0	0	2	0	0	0	0	160
CD99	ENSG00000002586	ENST00000646103	retained_intron	0	2	0	1278	0	0	0	0	0	174	0	882	0	63	0	0	0	2	0	0	0	0	161
CD99	ENSG00000002586	ENST00000647297	retained_intron	0	2	0	1359	0	0	0	0	0	163	0	1018	0	20	0	0	0	2	0	0	0	0	160
CD99P1	ENSG00000223773	ENST00000414513	retained_intron	0	3	0	1004	0	0	0	0	0	190	0	554	0	116	0	0	0	3	0	0	0	0	147
CD99P1	ENSG00000223773	ENST00000430562	processed_transcript	0	4	0	1267	0	0	0	0	0	194	0	886	0	38	0	0	0	4	0	0	0	0	153
CD99P1	ENSG00000223773	ENST00000431582	processed_transcript	0	1	0	573	0	0	0	0	0	165	0	245	0	11	0	0	0	1	0	0	0	0	153
CD99P1	ENSG00000223773	ENST00000435581	processed_transcript	0	4	0	1967	0	0	0	0	0	167	0	1555	0	96	0	0	0	4	0	0	0	0	153
CD99P1	ENSG00000223773	ENST00000527459	transcribed_unprocessed_pseudogene	0	5	0	2023	0	0	0	0	0	158	0	1678	0	39	0	0	0	5	0	0	0	0	153
CD99P1	ENSG00000223773	ENST00000685470	processed_transcript	0	4	0	1267	0	0	0	0	0	194	0	887	0	37	0	0	0	4	0	0	0	0	153
CD99P1	ENSG00000223773	ENST00000688123	processed_transcript	0	5	0	2023	0	0	0	0	0	157	0	1684	0	34	0	0	0	5	0	0	0	0	153
CD99P1	ENSG00000223773	ENST00000689252	processed_transcript	0	4	0	1267	0	0	0	0	0	194	0	887	0	37	0	0	0	4	0	0	0	0	153
CD99P1	ENSG00000223773	ENST00000691003	processed_transcript	0	4	0	1270	0	0	0	0	0	194	0	870	0	54	0	0	0	4	0	0	0	0	156
CRLF2	ENSG00000205755	ENST00000381566	protein_coding	2	16	28	1373	18	0	0	0	0	196	0	1033	28	0	0	0	2	2	0	0	0	14	130
CRLF2	ENSG00000205755	ENST00000381567	protein_coding	1	16	18	1251	0	1	8	0	0	214	0	902	18	0	0	0	1	2	0	0	0	13	130
CRLF2	ENSG00000205755	ENST00000400841	protein_coding	1	16	28	1258	19	0	0	0	0	212	0	899	28	0	0	0	1	2	0	0	0	14	131
CRLF2	ENSG00000205755	ENST00000467626	nonsense_mediated_decay	1	4	0	1352	47	1	1	0	0	212	0	886	0	75	0	0	1	3	0	0	0	0	135
CSF2RA	ENSG00000198223	ENST00000355432	protein_coding	0	28	31	2075	15	0	3	0	0	256	0	1658	31	0	0	0	0	9	0	0	0	20	151
CSF2RA	ENSG00000198223	ENST00000355805	protein_coding	0	15	20	2100	28	0	3	0	0	256	0	1666	20	0	0	0	0	5	0	0	0	10	151
CSF2RA	ENSG00000198223	ENST00000381500	protein_coding	0	28	25	1618	19	0	1	0	0	254	0	1165	25	0	0	0	0	11	0	0	0	18	188
CSF2RA	ENSG00000198223	ENST00000381509	protein_coding	1	39	29	1871	5	1	4	0	0	277	0	1445	29	0	0	1	0	11	0	0	0	29	150
CSF2RA	ENSG00000198223	ENST00000381524	protein_coding	1	38	28	2103	44	1	4	0	0	268	0	1646	28	0	0	0	0	12	0	0	1	27	150
CSF2RA	ENSG00000198223	ENST00000381529	protein_coding	1	38	28	2069	23	1	4	0	0	255	0	1646	28	0	0	0	0	12	0	0	1	27	150
CSF2RA	ENSG00000198223	ENST00000412290	protein_coding	0	21	19	1304	0	1	3	0	0	155	0	1002	19	0	0	0	0	6	0	0	0	14	150
CSF2RA	ENSG00000198223	ENST00000417535	protein_coding	3	41	34	2059	23	1	4	0	0	255	0	1636	34	0	0	0	0	14	0	2	1	29	151
CSF2RA	ENSG00000198223	ENST00000432318	protein_coding	1	39	28	2068	22	1	9	0	0	256	0	1641	28	0	0	0	0	13	0	0	1	27	150
CSF2RA	ENSG00000198223	ENST00000475259	processed_transcript	0	7	0	1392	0	0	0	0	0	257	0	836	0	18	0	0	0	7	0	0	0	0	288
CSF2RA	ENSG00000198223	ENST00000477940	processed_transcript	0	2	0	579	0	0	0	0	0	196	0	177	0	19	0	0	0	2	0	0	0	0	189
CSF2RA	ENSG00000198223	ENST00000478256	processed_transcript	0	0	0	478	0	0	0	0	0	201	0	3	0	18	0	0	0	0	0	0	0	0	256
CSF2RA	ENSG00000198223	ENST00000481245	processed_transcript	0	0	0	834	0	0	0	0	0	209	0	463	0	11	0	0	0	0	0	0	0	0	151
CSF2RA	ENSG00000198223	ENST00000486791	nonsense_mediated_decay	0	9	0	2161	33	0	3	0	0	256	0	1651	0	76	0	0	0	9	0	0	0	0	151
CSF2RA	ENSG00000198223	ENST00000491683	processed_transcript	0	1	0	448	0	0	0	0	0	171	0	46	0	28	0	0	0	1	0	0	0	0	204
CSF2RA	ENSG00000198223	ENST00000493312	processed_transcript	0	4	0	1644	0	0	0	0	0	234	0	1227	0	37	0	0	0	4	0	0	0	0	150
CSF2RA	ENSG00000198223	ENST00000494969	protein_coding	0	8	6	2121	1	1	4	0	0	257	0	1714	6	0	0	0	0	5	0	0	0	2	150
CSF2RA	ENSG00000198223	ENST00000498153	processed_transcript	0	7	0	1160	0	0	0	0	0	256	0	635	0	60	0	0	0	7	0	0	0	0	216
CSF2RA	ENSG00000198223	ENST00000501036	protein_coding	1	32	20	2086	23	3	12	0	0	255	0	1651	20	0	0	0	0	9	0	0	1	22	151
DDX11L16	ENSG00000227159	ENST00000507418	unprocessed_pseudogene	0	0	0	18	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	6
DHRSX	ENSG00000169084	ENST00000334651	protein_coding	1	21	27	10257	65	0	0	0	0	155	0	9868	27	0	0	0	0	6	0	1	0	17	171
DHRSX	ENSG00000169084	ENST00000412516	protein_coding	1	12	15	9357	0	0	0	0	0	191	0	8996	15	0	0	0	0	1	0	1	0	12	170
DHRSX	ENSG00000169084	ENST00000430536	processed_transcript	0	4	0	6174	0	0	0	0	0	189	0	5804	0	15	0	0	0	4	0	0	0	0	170
DHRSX	ENSG00000169084	ENST00000441131	processed_transcript	0	6	0	8589	0	0	0	0	0	168	0	8233	0	17	0	0	0	6	0	0	0	0	177
DHRSX	ENSG00000169084	ENST00000444280	protein_coding	0	9	10	8516	0	1	13	0	0	165	0	8172	10	0	0	0	0	5	0	0	0	5	168
DHRSX	ENSG00000169084	ENST00000464935	processed_transcript	0	0	0	523	0	0	0	0	0	161	0	163	0	20	0	0	0	0	0	0	0	0	179
DHRSX	ENSG00000169084	ENST00000478825	protein_coding	0	6	1	7738	0	2	19	0	0	140	0	7413	1	0	0	0	0	4	0	0	0	0	168
DHRSX-IT1	ENSG00000223571	ENST00000437244		0	0	0	415	0	0	0	0	0	180	0	59	0	25	0	0	0	0	0	0	0	0	151
DPH3P2	ENSG00000237040	ENST00000422618	processed_pseudogene	0	0	0	283	0	0	0	0	0	124	0	0	0	10	0	0	0	0	0	0	0	0	149
ELOCP24	ENSG00000228410	ENST00000456370	processed_pseudogene	0	0	0	399	0	0	0	0	0	212	0	0	0	7	0	0	0	0	0	0	0	0	180
ENSG00000223511	ENSG00000223511	ENST00000427886		0	1	0	796	0	0	0	0	0	182	0	392	0	16	0	0	0	1	0	0	0	0	207
ENSG00000223511	ENSG00000223511	ENST00000432272		1	2	0	1547	0	0	0	0	0	184	0	1127	0	27	0	0	1	2	0	0	0	0	212
ENSG00000228572	ENSG00000228572	ENST00000431238	unprocessed_pseudogene	1	0	0	536	0	0	0	0	0	285	0	62	0	21	0	1	0	0	0	0	0	0	169
ENSG00000234622	ENSG00000234622	ENST00000453953		0	0	0	451	0	0	0	0	0	192	0	40	0	24	0	0	0	0	0	0	0	0	195
ENSG00000237531	ENSG00000237531	ENST00000420865		2	2	0	644	0	0	0	0	0	237	0	181	0	35	0	0	2	2	0	0	0	0	195
ENSG00000270726	ENSG00000270726	ENST00000483543	retained_intron	0	0	0	339	0	0	0	0	0	12	0	97	0	14	0	0	0	0	0	0	0	0	216
ENSG00000280767	ENSG00000280767	ENST00000627627		1	0	0	655	0	0	0	0	0	221	0	148	0	40	0	0	1	0	0	0	0	0	247
ENSG00000281849	ENSG00000281849	ENST00000627721		0	2	0	1114	0	0	0	0	0	168	0	788	0	15	0	0	0	2	0	0	0	0	145
ENSG00000289007	ENSG00000289007	ENST00000686824		0	0	0	1615	0	0	0	0	0	165	0	1208	0	46	0	0	0	0	0	0	0	0	196
ENSG00000289007	ENSG00000289007	ENST00000688481		1	1	0	1610	0	0	0	0	0	165	0	1198	0	55	0	1	0	1	0	0	0	0	194
ENSG00000289007	ENSG00000289007	ENST00000688729		1	1	0	1610	0	0	0	0	0	165	0	1198	0	55	0	1	0	1	0	0	0	0	194
ENSG00000289007	ENSG00000289007	ENST00000692094		0	1	0	1611	0	0	0	0	0	165	0	1199	0	54	0	0	0	1	0	0	0	0	194
ENSG00000289007	ENSG00000289007	ENST00000692325		0	1	0	1611	0	0	0	0	0	165	0	1202	0	51	0	0	0	1	0	0	0	0	194
ENSG00000289007	ENSG00000289007	ENST00000692674		0	0	0	1613	0	0	0	0	0	165	0	1205	0	49	0	0	0	0	0	0	0	0	194
ENSG00000289007	ENSG00000289007	ENST00000693110		0	1	0	1612	0	0	0	0	0	165	0	1200	0	54	0	0	0	1	0	0	0	0	194
ENSG00000289007	ENSG00000289007	ENST00000693756		1	1	0	1610	0	0	0	0	0	165	0	1201	0	52	0	1	0	1	0	0	0	0	194
ENSG00000289620	ENSG00000289620	ENST00000691936		0	0	0	476	0	0	0	0	0	210	0	4	0	18	0	0	0	0	0	0	0	0	244
FABP5P13	ENSG00000234958	ENST00000452144	processed_pseudogene	0	0	0	455	0	0	0	0	0	209	0	0	0	17	0	0	0	0	0	0	0	0	229
GTPBP6	ENSG00000178605	ENST00000326153	protein_coding	2	56	60	1211	18	0	1	0	0	340	0	665	60	0	0	1	0	15	0	0	1	46	198
GTPBP6	ENSG00000178605	ENST00000485332	retained_intron	0	3	0	1094	0	0	0	0	0	339	0	278	0	147	0	0	0	3	0	0	0	0	333
IL3RA	ENSG00000185291	ENST00000331035	protein_coding	6	32	42	2345	21	3	14	0	0	262	0	1815	42	0	0	2	0	10	1	2	1	22	242
IL3RA	ENSG00000185291	ENST00000381469	protein_coding	4	27	32	2368	21	5	21	0	0	262	0	1831	32	0	0	1	0	6	1	1	1	17	239
IL3RA	ENSG00000185291	ENST00000432757	protein_coding	3	12	17	1560	0	2	12	0	0	231	0	1076	17	0	0	1	0	3	1	1	0	8	244
IL9R	ENSG00000124334	ENST00000244174	protein_coding	3	15	29	497	0	1	2	0	0	1	0	352	29	0	0	0	1	7	0	2	0	11	146
IL9R	ENSG00000124334	ENST00000369423	protein_coding	4	21	30	489	0	1	2	0	0	1	1	344	30	0	0	0	1	8	0	2	0	17	146
IL9R	ENSG00000124334	ENST00000489233	processed_transcript	0	0	0	523	0	0	0	0	0	145	0	217	0	13	0	0	0	0	0	0	0	0	148
IL9R	ENSG00000124334	ENST00000494962	processed_transcript	0	0	0	255	0	0	0	0	0	20	0	19	0	0	0	0	0	0	0	0	0	0	216
KRT18P53	ENSG00000229232	ENST00000431919	processed_pseudogene	0	0	0	474	0	0	0	0	0	231	0	0	0	5	0	0	0	0	0	0	0	0	238
LINC00102	ENSG00000230542	ENST00000445785		0	0	0	443	0	0	0	0	0	194	0	29	0	53	0	0	0	0	0	0	0	0	167
LINC00106	ENSG00000236871	ENST00000430235		0	3	0	698	0	0	0	0	0	288	0	85	0	23	0	0	0	3	0	0	0	0	305
LINC00106	ENSG00000236871	ENST00000434938		0	1	0	721	0	0	0	0	0	301	0	94	0	16	0	0	0	1	0	0	0	0	311
LINC00685	ENSG00000226179	ENST00000391707		0	0	0	456	0	0	0	0	0	228	0	0	0	17	0	0	0	0	0	0	0	0	211
MIR3690	ENSG00000265658	ENST00000580266	miRNA	0	0	0	367	0	0	0	0	0	166	0	0	0	8	0	0	0	0	0	0	0	0	193
MIR6089	ENSG00000277120	ENST00000616698	miRNA	0	0	0	355	0	0	0	0	0	197	0	0	0	0	0	0	0	0	0	0	0	0	158
Metazoa_SRP	ENSG00000275287	ENST00000610676	misc_RNA	0	0	0	385	0	0	0	0	0	154	0	0	0	13	0	0	0	0	0	0	0	0	218
P2RY8	ENSG00000182162	ENST00000381297	protein_coding	0	24	19	3250	125	4	18	0	1	292	0	2619	18	0	0	0	0	1	0	0	0	19	196
P2RY8	ENSG00000182162	ENST00000460672	protein_coding	0	4	2	1399	0	0	10	0	0	206	0	961	2	0	0	0	0	1	0	0	0	3	222
PLCXD1	ENSG00000182378	ENST00000381657	protein_coding	3	31	37	1590	283	0	9	0	0	268	0	837	37	0	1	0	1	6	0	1	1	26	198
PLCXD1	ENSG00000182378	ENST00000399012	protein_coding	3	34	37	1694	283	1	12	0	0	268	0	1036	37	0	0	0	1	8	0	1	1	26	102
PLCXD1	ENSG00000182378	ENST00000415337	protein_coding	1	17	23	934	0	0	3	0	0	312	0	429	23	0	0	0	1	4	0	0	0	14	194
PLCXD1	ENSG00000182378	ENST00000429181	protein_coding	0	6	9	880	0	0	6	0	0	318	0	343	9	0	0	0	0	2	0	0	0	4	215
PLCXD1	ENSG00000182378	ENST00000430923	protein_coding	1	18	23	1131	0	1	4	0	0	311	0	716	23	0	0	0	1	5	0	0	0	13	104
PLCXD1	ENSG00000182378	ENST00000443019	protein_coding	0	7	9	792	0	1	2	0	0	320	0	267	9	0	0	0	0	1	0	0	0	5	203
PLCXD1	ENSG00000182378	ENST00000445062	protein_coding	0	8	12	887	0	0	7	0	0	318	0	343	12	0	0	0	0	2	0	0	0	6	221
PLCXD1	ENSG00000182378	ENST00000447472	protein_coding	2	17	23	931	0	0	3	0	0	311	0	427	23	0	0	0	2	5	0	0	0	13	195
PLCXD1	ENSG00000182378	ENST00000448477	protein_coding	1	13	16	869	0	4	18	0	0	301	0	358	16	0	0	0	1	1	0	0	0	8	194
PLCXD1	ENSG00000182378	ENST00000484611	processed_transcript	1	4	0	1162	0	0	0	0	0	315	0	713	0	38	0	0	1	4	0	0	0	0	101
PPP2R3B	ENSG00000167393	ENST00000381625	protein_coding	1	16	13	1462	0	1	8	0	0	154	1	1156	13	0	0	0	0	2	0	0	0	13	146
PPP2R3B	ENSG00000167393	ENST00000390665	protein_coding	0	77	55	2982	60	3	7	1	0	472	0	2261	54	0	0	0	0	17	0	0	0	61	195
PPP2R3B	ENSG00000167393	ENST00000445792	retained_intron	0	6	0	2086	0	0	0	0	0	189	0	1610	0	96	0	0	0	6	0	0	0	0	197
PPP2R3B	ENSG00000167393	ENST00000468169	retained_intron	0	6	0	1033	0	0	0	0	0	477	0	270	0	71	0	0	0	6	0	0	0	0	221
PPP2R3B	ENSG00000167393	ENST00000475859	retained_intron	0	1	0	460	0	0	0	0	0	162	0	31	0	27	0	0	0	1	0	0	0	0	241
PPP2R3B	ENSG00000167393	ENST00000477110	retained_intron	0	10	0	1554	0	0	0	0	0	512	0	304	0	499	0	0	0	10	0	0	0	0	249
PPP2R3B	ENSG00000167393	ENST00000477636	retained_intron	0	3	0	774	0	0	0	0	0	382	0	113	0	22	0	0	0	3	0	0	0	0	260
PPP2R3B	ENSG00000167393	ENST00000479438	retained_intron	0	9	0	1286	0	0	0	0	0	512	0	504	0	114	0	0	0	9	0	0	0	0	165
PPP2R3B	ENSG00000167393	ENST00000484364	retained_intron	0	3	0	802	0	0	0	0	0	383	0	155	0	47	0	0	0	3	0	0	0	0	220
PPP2R3B	ENSG00000167393	ENST00000496630	retained_intron	0	2	0	1094	0	0	0	0	0	171	0	722	0	25	0	0	0	2	0	0	0	0	178
RNA5SP498	ENSG00000223274	ENST00000411342		0	0	0	405	0	0	0	0	0	169	0	0	0	9	0	0	0	0	0	0	0	0	227
RPL14P5	ENSG00000225661	ENST00000436474	processed_pseudogene	0	2	0	477	0	0	0	0	0	205	0	29	0	33	0	0	0	2	0	0	0	0	212
SHOX	ENSG00000185960	ENST00000334060	protein_coding	1	22	15	1938	23	7	42	0	0	276	0	1320	15	0	0	0	0	3	0	0	1	13	279
SHOX	ENSG00000185960	ENST00000381575	protein_coding	1	16	15	1556	23	2	9	0	0	276	0	1068	15	0	0	0	0	2	0	0	1	13	181
SHOX	ENSG00000185960	ENST00000381578	protein_coding	0	25	14	1353	87	7	42	0	0	213	0	734	14	0	0	0	0	3	0	0	0	16	279
SHOX	ENSG00000185960	ENST00000686671	protein_coding	0	19	14	1183	296	2	11	0	0	214	0	482	14	0	0	0	0	2	0	0	0	16	181
SLC25A6	ENSG00000169100	ENST00000381401	protein_coding	0	31	11	824	29	1	7	0	0	268	0	218	11	0	0	0	0	2	0	0	0	29	303
SLC25A6	ENSG00000169100	ENST00000475167	processed_transcript	0	4	0	791	0	0	0	0	0	264	0	184	0	45	0	0	0	4	0	0	0	0	302
SLC25A6	ENSG00000169100	ENST00000484026	processed_transcript	0	2	0	788	0	0	0	0	0	264	0	184	0	40	0	0	0	2	0	0	0	0	302
SPRY3	ENSG00000168939	ENST00000302805	protein_coding	0	12	11	677	197	1	20	0	0	129	0	147	11	0	0	0	0	0	0	0	0	11	184
SPRY3	ENSG00000168939	ENST00000675360	protein_coding	0	12	11	1939	44	1	13	0	0	134	0	1748	11	0	0	0	0	0	0	0	0	11	0
SPRY3	ENSG00000168939	ENST00000676089	processed_transcript	0	0	0	951	0	0	0	0	0	121	0	809	0	21	0	0	0	0	0	0	0	0	0
TMLHE	ENSG00000185973	ENST00000675642	protein_coding	0	1	0	493	0	1	2	0	0	0	0	360	0	0	0	0	0	0	0	0	0	0	131
TRPC6P	ENSG00000223484	ENST00000421233	processed_pseudogene	0	0	0	378	0	0	0	0	0	151	0	0	0	47	0	0	0	0	0	0	0	0	180
VAMP7	ENSG00000124333	ENST00000262640	protein_coding	2	11	13	2074	48	0	1	0	0	157	0	1741	13	0	0	1	0	1	0	1	0	10	129
VAMP7	ENSG00000124333	ENST00000286448	protein_coding	1	9	7	2085	57	0	2	0	0	157	0	1741	7	0	0	1	0	1	0	0	0	8	130
VAMP7	ENSG00000124333	ENST00000460621	protein_coding	2	6	5	2028	2	0	1	0	0	153	0	1746	5	0	0	1	1	1	0	0	0	5	129
VAMP7	ENSG00000124333	ENST00000463317	processed_transcript	1	1	0	1970	0	0	0	0	0	143	0	1684	0	16	0	1	0	1	0	0	0	0	129
VAMP7	ENSG00000124333	ENST00000479687	processed_transcript	1	1	0	2038	0	0	0	0	0	153	0	1741	0	16	0	1	0	1	0	0	0	0	130
VAMP7	ENSG00000124333	ENST00000488344	nonsense_mediated_decay	1	1	0	2049	9	0	1	0	0	154	0	1743	0	14	0	1	0	1	0	0	0	0	130
WASH6P	ENSG00000182484	ENST00000340131	retained_intron	0	0	0	18	0	0	0	0	0	6	0	0	0	12	0	0	0	0	0	0	0	0	0
WASH6P	ENSG00000182484	ENST00000359512	protein_coding	2	6	4	3	0	0	0	0	0	3	1	0	4	0	0	0	0	0	0	1	0	6	0
WASH6P	ENSG00000182484	ENST00000460206	retained_intron	0	0	0	18	0	0	0	0	0	6	0	0	0	12	0	0	0	0	0	0	0	0	0
WASH6P	ENSG00000182484	ENST00000461007	retained_intron	0	0	0	18	0	0	0	0	0	6	0	0	0	12	0	0	0	0	0	0	0	0	0
WASH6P	ENSG00000182484	ENST00000464205	processed_transcript	0	0	0	15	0	0	0	0	0	3	0	0	0	12	0	0	0	0	0	0	0	0	0
WASH6P	ENSG00000182484	ENST00000475594	retained_intron	0	0	0	12	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0
WASH6P	ENSG00000182484	ENST00000476066	processed_transcript	0	0	0	12	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0
WASH6P	ENSG00000182484	ENST00000479401	processed_transcript	0	0	0	12	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0
WASH6P	ENSG00000182484	ENST00000482170	processed_transcript	0	0	0	12	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0
WASH6P	ENSG00000182484	ENST00000483079	retained_intron	0	0	0	12	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0
WASH6P	ENSG00000182484	ENST00000483286	retained_intron	0	0	0	15	0	0	0	0	0	3	0	0	0	12	0	0	0	0	0	0	0	0	0
WASH6P	ENSG00000182484	ENST00000484415	retained_intron	0	0	0	18	0	0	0	0	0	6	0	0	0	12	0	0	0	0	0	0	0	0	0
WASH6P	ENSG00000182484	ENST00000492963	retained_intron	0	0	0	18	0	0	0	0	0	6	0	0	0	12	0	0	0	0	0	0	0	0	0
WASH6P	ENSG00000182484	ENST00000496011	retained_intron	0	0	0	12	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0
WASH6P	ENSG00000182484	ENST00000496301	retained_intron	0	0	0	18	0	0	0	0	0	6	0	0	0	12	0	0	0	0	0	0	0	0	0
WASIR1	ENSG00000185203	ENST00000399966		0	0	0	3	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
XG	ENSG00000124343	ENST00000381174	protein_coding	0	3	0	1062	0	2	5	0	0	0	0	911	0	0	0	0	0	0	0	0	0	1	146
XG	ENSG00000124343	ENST00000419513	protein_coding	0	2	0	1063	0	2	5	0	0	0	0	912	0	0	0	0	0	0	0	0	0	0	146
